Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,XRP_open,XRP_close,XRP_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_XRP_change_1hr,perc_XRP_change_2hr,perc_XRP_change_3hr,perc_XRP_change_4hr,perc_XRP_change_5hr,perc_XRP_change_6hr,lag_time,met_threshold
25236,2019-10-26 03:00:00,9665.9,9604.05,92577373.37,0.3038,0.3045,2944460.88,-0.639878335178311,-4.861319551966921,4.252127311982955,10.759303894546237,11.501265470081497,11.584175670965486,0.2304147465437717,-1.6472868217054244,0.661157024793389,1.9076305220883476,2.4907438572871152,2.284178703392668,,
25236,2019-10-26 03:00:00,9665.9,9604.05,92577373.37,0.3038,0.3045,2944460.88,-0.639878335178311,-4.861319551966921,4.252127311982955,10.759303894546237,11.501265470081497,11.584175670965486,0.2304147465437717,-1.6472868217054244,0.661157024793389,1.9076305220883476,2.4907438572871152,2.284178703392668,,
25236,2019-10-26 03:00:00,9665.9,9604.05,92577373.37,0.3038,0.3045,2944460.88,-0.639878335178311,-4.861319551966921,4.252127311982955,10.759303894546237,11.501265470081497,11.584175670965486,0.2304147465437717,-1.6472868217054244,0.661157024793389,1.9076305220883476,2.4907438572871152,2.284178703392668,,
25237,2019-10-26 04:00:00,9604.05,9644.73,36057667.4,0.3045,0.3052,1736014.44,0.4235713058553453,-0.2190173703431659,-4.458339400819644,4.693709409020299,11.228448524408659,11.973552836278357,0.22988505747127552,0.46082949308756166,-1.4211886304909431,0.8925619834710862,2.1419009370816653,2.726354762706177,,
25237,2019-10-26 04:00:00,9604.05,9644.73,36057667.4,0.3045,0.3052,1736014.44,0.4235713058553453,-0.2190173703431659,-4.458339400819644,4.693709409020299,11.228448524408659,11.973552836278357,0.22988505747127552,0.46082949308756166,-1.4211886304909431,0.8925619834710862,2.1419009370816653,2.726354762706177,,
25237,2019-10-26 04:00:00,9604.05,9644.73,36057667.4,0.3045,0.3052,1736014.44,0.4235713058553453,-0.2190173703431659,-4.458339400819644,4.693709409020299,11.228448524408659,11.973552836278357,0.22988505747127552,0.46082949308756166,-1.4211886304909431,0.8925619834710862,2.1419009370816653,2.726354762706177,,
25237,2019-10-26 04:00:00,9604.05,9644.73,36057667.4,0.3045,0.3052,1736014.44,0.4235713058553453,-0.2190173703431659,-4.458339400819644,4.693709409020299,11.228448524408659,11.973552836278357,0.22988505747127552,0.46082949308756166,-1.4211886304909431,0.8925619834710862,2.1419009370816653,2.726354762706177,,
25238,2019-10-26 05:00:00,9644.73,9620.74,30878300.64,0.3052,0.3024,1598592.03,-0.24873687495658026,0.1737808528693677,-0.46720946833714255,-4.695986741675666,4.433297547960178,10.951782357486357,-0.9174311926605585,-0.68965517241379,-0.46082949308756166,-2.3255813953488325,-0.03305785123966578,1.204819277108431,,
25238,2019-10-26 05:00:00,9644.73,9620.74,30878300.64,0.3052,0.3024,1598592.03,-0.24873687495658026,0.1737808528693677,-0.46720946833714255,-4.695986741675666,4.433297547960178,10.951782357486357,-0.9174311926605585,-0.68965517241379,-0.46082949308756166,-2.3255813953488325,-0.03305785123966578,1.204819277108431,,
25238,2019-10-26 05:00:00,9644.73,9620.74,30878300.64,0.3052,0.3024,1598592.03,-0.24873687495658026,0.1737808528693677,-0.46720946833714255,-4.695986741675666,4.433297547960178,10.951782357486357,-0.9174311926605585,-0.68965517241379,-0.46082949308756166,-2.3255813953488325,-0.03305785123966578,1.204819277108431,,
25238,2019-10-26 05:00:00,9644.73,9620.74,30878300.64,0.3052,0.3024,1598592.03,-0.24873687495658026,0.1737808528693677,-0.46720946833714255,-4.695986741675666,4.433297547960178,10.951782357486357,-0.9174311926605585,-0.68965517241379,-0.46082949308756166,-2.3255813953488325,-0.03305785123966578,1.204819277108431,,
25239,2019-10-26 06:00:00,9620.74,9607.87,25694897.04,0.3024,0.3022,1433890.3,-0.13377349351504128,-0.38217762446433196,0.03977488663638286,-0.6003579594243561,-4.823478249671365,4.293593477437314,-0.06613756613755885,-0.9829619921363048,-0.7553366174055727,-0.5266622778143483,-2.3901808785529597,-0.09917355371899733,,
28577,2020-03-13 02:00:00,4240.69,5098.63,152160228.45,0.124,0.1351,7604416.9,20.231141630253582,8.23140573058848,3.698558812881609,-12.228480731556994,-12.233013385479778,-11.499019284511643,8.951612903225806,-0.6617647058823616,-2.4548736462093963,-13.3974358974359,-14.38529784537389,-13.6741214057508,0 days 04:00:00,1.0
28578,2020-03-13 03:00:00,5098.63,5359.4,120878963.32,0.1351,0.1466,7197024.53,5.114511152995991,26.38037677830731,13.766913047723769,9.002233168862546,-7.739396589418451,-7.7441610664316425,8.512213175425618,18.22580645161291,7.7941176470588225,5.848375451263534,-6.02564102564102,-7.097591888466405,,
28578,2020-03-13 03:00:00,5098.63,5359.4,120878963.32,0.1351,0.1466,7197024.53,5.114511152995991,26.38037677830731,13.766913047723769,9.002233168862546,-7.739396589418451,-7.7441610664316425,8.512213175425618,18.22580645161291,7.7941176470588225,5.848375451263534,-6.02564102564102,-7.097591888466405,0 days 03:00:00,1.0
28578,2020-03-13 03:00:00,5098.63,5359.4,120878963.32,0.1351,0.1466,7197024.53,5.114511152995991,26.38037677830731,13.766913047723769,9.002233168862546,-7.739396589418451,-7.7441610664316425,8.512213175425618,18.22580645161291,7.7941176470588225,5.848375451263534,-6.02564102564102,-7.097591888466405,,
28578,2020-03-13 03:00:00,5098.63,5359.4,120878963.32,0.1351,0.1466,7197024.53,5.114511152995991,26.38037677830731,13.766913047723769,9.002233168862546,-7.739396589418451,-7.7441610664316425,8.512213175425618,18.22580645161291,7.7941176470588225,5.848375451263534,-6.02564102564102,-7.097591888466405,0 days 03:00:00,1.0
28579,2020-03-13 04:00:00,5359.4,4857.83,69473224.78,0.1466,0.1345,5105226.32,-9.358696869052501,-4.722837311199286,14.552820413659106,3.1198125183087644,-1.1989554139090994,-16.37378679217349,-8.2537517053206,-0.4441154700221979,8.467741935483879,-1.1029411764705892,-2.88808664259928,-13.782051282051277,,
28579,2020-03-13 04:00:00,5359.4,4857.83,69473224.78,0.1466,0.1345,5105226.32,-9.358696869052501,-4.722837311199286,14.552820413659106,3.1198125183087644,-1.1989554139090994,-16.37378679217349,-8.2537517053206,-0.4441154700221979,8.467741935483879,-1.1029411764705892,-2.88808664259928,-13.782051282051277,,
28579,2020-03-13 04:00:00,5359.4,4857.83,69473224.78,0.1466,0.1345,5105226.32,-9.358696869052501,-4.722837311199286,14.552820413659106,3.1198125183087644,-1.1989554139090994,-16.37378679217349,-8.2537517053206,-0.4441154700221979,8.467741935483879,-1.1029411764705892,-2.88808664259928,-13.782051282051277,,
28579,2020-03-13 04:00:00,5359.4,4857.83,69473224.78,0.1466,0.1345,5105226.32,-9.358696869052501,-4.722837311199286,14.552820413659106,3.1198125183087644,-1.1989554139090994,-16.37378679217349,-8.2537517053206,-0.4441154700221979,8.467741935483879,-1.1029411764705892,-2.88808664259928,-13.782051282051277,,
28580,2020-03-13 05:00:00,4857.83,4999.18,63842336.82,0.1345,0.1413,3709315.93,2.909735416842507,-6.721274769563745,-1.9505239642805972,17.88600440022734,6.120326224935588,1.6758935726227437,5.055762081784387,-3.615279672578444,4.589193190229468,13.951612903225815,3.8970588235294112,2.0216606498194922,,
28580,2020-03-13 05:00:00,4857.83,4999.18,63842336.82,0.1345,0.1413,3709315.93,2.909735416842507,-6.721274769563745,-1.9505239642805972,17.88600440022734,6.120326224935588,1.6758935726227437,5.055762081784387,-3.615279672578444,4.589193190229468,13.951612903225815,3.8970588235294112,2.0216606498194922,,
28580,2020-03-13 05:00:00,4857.83,4999.18,63842336.82,0.1345,0.1413,3709315.93,2.909735416842507,-6.721274769563745,-1.9505239642805972,17.88600440022734,6.120326224935588,1.6758935726227437,5.055762081784387,-3.615279672578444,4.589193190229468,13.951612903225815,3.8970588235294112,2.0216606498194922,,
28580,2020-03-13 05:00:00,4857.83,4999.18,63842336.82,0.1345,0.1413,3709315.93,2.909735416842507,-6.721274769563745,-1.9505239642805972,17.88600440022734,6.120326224935588,1.6758935726227437,5.055762081784387,-3.615279672578444,4.589193190229468,13.951612903225815,3.8970588235294112,2.0216606498194922,,
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,,
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,,
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,0 days 00:00:00,1.0
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,,
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,,
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,0 days 00:00:00,1.0
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,,
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,,
28581,2020-03-13 06:00:00,4999.18,5277.77,42709815.76,0.1413,0.1477,3190278.9,5.5727139250837165,8.644600572683698,-1.5231182595066464,3.513492840233559,24.45545418316361,12.03410842181684,4.529370134465668,9.814126394052035,0.7503410641200475,9.32642487046632,19.112903225806452,8.602941176470578,0 days 00:00:00,1.0
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28582,2020-03-13 07:00:00,5277.77,5444.93,43724972.22,0.1477,0.155,3210273.43,3.1672467727847144,8.91646229981717,12.085643178126865,1.5958875993581496,6.7920206016125935,28.39726553933442,4.942450914014896,9.69568294409058,15.241635687732332,5.729877216916774,14.729829755736493,25.0,,
28583,2020-03-13 08:00:00,5444.93,5363.06,55178946.11,0.155,0.1501,2950572.22,-1.5036005972528552,1.6160234341397968,7.2787937221704375,10.400322777865847,0.06829122662986088,5.186295142028354,-3.161290322580637,1.6249153689912075,6.227883934890306,11.598513011152416,2.387448840381994,11.102886750555156,,
28583,2020-03-13 08:00:00,5444.93,5363.06,55178946.11,0.155,0.1501,2950572.22,-1.5036005972528552,1.6160234341397968,7.2787937221704375,10.400322777865847,0.06829122662986088,5.186295142028354,-3.161290322580637,1.6249153689912075,6.227883934890306,11.598513011152416,2.387448840381994,11.102886750555156,,
28583,2020-03-13 08:00:00,5444.93,5363.06,55178946.11,0.155,0.1501,2950572.22,-1.5036005972528552,1.6160234341397968,7.2787937221704375,10.400322777865847,0.06829122662986088,5.186295142028354,-3.161290322580637,1.6249153689912075,6.227883934890306,11.598513011152416,2.387448840381994,11.102886750555156,,
28583,2020-03-13 08:00:00,5444.93,5363.06,55178946.11,0.155,0.1501,2950572.22,-1.5036005972528552,1.6160234341397968,7.2787937221704375,10.400322777865847,0.06829122662986088,5.186295142028354,-3.161290322580637,1.6249153689912075,6.227883934890306,11.598513011152416,2.387448840381994,11.102886750555156,,
28584,2020-03-13 09:00:00,5363.06,5754.07,50185678.4,0.1501,0.1602,2941577.49,7.290800401263445,5.677575285632678,9.024644878424017,15.100276445337022,18.44938995395063,7.364070604918463,6.728847435043303,3.354838709677426,8.4631008801625,13.375796178343949,19.107806691449813,9.276944065484312,,
28584,2020-03-13 09:00:00,5363.06,5754.07,50185678.4,0.1501,0.1602,2941577.49,7.290800401263445,5.677575285632678,9.024644878424017,15.100276445337022,18.44938995395063,7.364070604918463,6.728847435043303,3.354838709677426,8.4631008801625,13.375796178343949,19.107806691449813,9.276944065484312,0 days 00:00:00,1.0
